text,label
Chaikin Karen,1
1,0
From:,0
"Chaikin, Karen",1
Sont;,1
"Wednesday October 10, 2001 3.52 FM",0
To:,0
"Goodman, Taryn H",1
Sublect:,0
FW: Budget and key partnerships,0
Here it is again. thanks.,0
KC,0
Youth Smoking Prcvention,0
~Original Message,0
Frotn:,0
To_,0
Debra On Behalf Of Lau. Raymond,1
Sent:,0
Friday_,0
"December 17 , 1999 5.31 AM",0
2069751488,4
To:,0
Lipowicz,1
"Peter _ ; Schorp, Matthias",1
Cc:,0
Lau_,0
Raymona,0
Subject:,0
Draf: sutmission by Hong Kong Totacco,0
Institule on Hong Kong IAG Guidance,0
Noles,0
"Dear Matthias, Pete_",0
Attached please,0
the first draft of the above document by,0
tha HKTI,0
have a number of issues with it in its,0
present,0
form as,0
"am not sure the comments from Matthias,",0
Gary and myself are fully factored in.,0
To speed up the review,0
"process,",0
am sending you the document for review,0
while,0
work on it myself;,0
If we cannot,0
salisfactory,0
consensus with,0
"HKTI, we may have t0 make Ouur own",0
submission separate from them.,0
Jenny,1
has asked me,0
ta turn the piece around as soan as,0
possible 50,0
am afraid its the same mad rush story,0
again,0
Cc,0
File: Submission;pdf >>,0
Regards;,0
Raymond,1
Best regards;,0
Debra To,1
Worldwide Scientiflc Affalrs,0
Tel: (852) 2825-1622,4
Fax: (852) 2826-3817,4
erail: dtc@pminilcom hk,2
find,0
get,0
Fung,0
the,0
Estimate No.,0
IMRI0O2-84/7334 Rev,0
Date,0
June_25,0
1984,0
LEO,1
B URNETT,1
U.S.A.,6
Media,0
Print,0
DIVISION,0
DF LEO BURNETT COMPANY INC,1
Budget Year,0
1984,0
Job Number,0
81393,0
Estimate of Art & Production Cost,0
Print Advertisements and Outdoor,0
Client No_,0
PHILIP MORRIS INC.,0
Brand,0
Merit,0
Starting _Date:,0
January 1984,0
Space _,0
Color,0
AdNo_,0
Heading,0
Sea Campaign_Presentation Materjals,0
Stock Photots,0
1984,0
Publications,0
"ART (including photography, drawings,",0
"lettering, retouching, keyline, etc-",0
"72,782.00",0
PRODUCTION,0
Composition,0
Engraving,0
Duplicate Plates,0
Photostats,0
Misc,0
ART and PRODUCTION,0
SUBTOTAL,0
"72,787 00",0
Agency Commission,0
"J0,918,00",0
Packing /Shipping,0
22-00,0
Taxes,0
TOTAL,0
"83,72700",0
Approved,0
Revised,0
[8 hcrease cos_Bate,0
7,0
Remarks:,0
Form 9-24 2/75,0
E,0
Temeid,0
110222,0
1161482.5715,0
August,0
4984,0
Mr .,0
Chrie Cory,1
Manaber,1
Edftorfal,0
Servfce?,0
"Phflip Morris,",1
"Inc,",0
120,6
Park,6
@ venue,6
New York_,6
RY 10017,6
Dear Chrisi,1
The attached article,0
1$,0
good example,0
of,0
whet,0
we diecussed,0
che,0
other dey _,0
The weaknesse8,0
and,0
defIcfencfes,0
sBe Couid Probably,0
pe]muftf-,0
Plied 1O-fold,0
by,0
profebbional,0
staelsticlan,0
or,0
ep1demfologtst_,0
Date necessary,0
for,0
true eveluation,0
Df,0
the,0
erticle,0
are,0
lacking.,0
The Journal  In which,0
1t,0
Pears,0
18 fssued Dy,0
an orbanizotson Hel}-known,0
for,0
Its,0
antismoklng blas$,0
also,0
the journal,0
19,0
a1most,0
"trede orbanizatlon""",0
Pudiicetion .,0
You'11,0
note,0
there,0
no Wention,0
Df,0
tbe wine,0
(or other,0
drink-,0
the,0
subfects.,0
You pieht want,0
to send,0
copy,0
to PMI,0
Jn,0
Lel-,0
genne_,0
1 '0,0
not,0
Bure,0
hether,0
the French Industry,0
"Brovp In Parls,",0
as8oc fatlon,0
de Pournisseurs,0
Com-,0
Dunautalre,0
"de Clearettes ,",0
has,0
s0ed,0
"It,",0
did,0
Know,0
1t3,0
director_,0
Mme .,1
"he1ene Bour8o1s,",1
but,0
1'0,0
not,0
"bure She""",0
there =,0
Wfth,0
"best ""#fshe8 .",0
Sfncerely,0
Leonard,1
S. zahn,1
Lsztc],0
attachmet t,0
ap-,0
PHILIP MORRIS,0
U.S: A_,0
INTER-O FFIC E,0
COR RES PONDENCE,0
"Richmond, Virginia",6
To:,0
Mr: J. E. Wickham,1
"Date: May 15,1990",0
From:,0
Barbara S,1
Mait,1
Subject:,0
HTLTest 4841/10160 (Requested by B.,1
Monahan),1
MOAS,0
HTI #4841 = Red L9 and Black E4 = Bucks,0
Lights 85,0
MOAT=HTI#10160 = Red E4 and Black L9 =,0
Winston Lights 85,0
The   purpose,0
of,0
this,0
HTT,0
test is,0
to,0
assess,0
the,0
consutner,0
acceptability of Bucks,0
Lights 85 relative to Winston Lights 85.,0
The Bucks Lights cigarettes (MOAS) were,0
different,0
the Winston Lights cigarettes,0
(MOAT) in total RTD_,0
These cigarettes will be overtipped and,0
mailed to the panelists in,0
white packs_,0
BSMrad,0
~bashuoff}acd,0
CC,0
Mr;,0
J. Easley,1
Dr: E. Gee,1
Mr. R Heretick,1
Mr. J. Higgs,1
Dr_,0
K Houghton,1
"Mr. J, Isaacs",1
Ms. B. Monahan,1
Mi_,0
J. Myracle,1
Mr. H. Spielberg,1
CTSD Data File,0
Central File,0
Attachment,0
7,0
from,0
07/12,0
95,0
16:19,0
3+41,0
21,0
618,0
85 55,0
PM FINANCES,2
@ool,2
#AY,0
Eingegange n,0
0.0Ri695,0
PHLLIP MORRIS,1
EUROPEAN,0
UmION,0
REGION,0
TELEPHONE (41-21) 618,4
61],4
11,4
CABLE,6
SWIPOLD LAUSANNE,6
FACSIMILE,0
TELEX,0
454,0
564,0
TRANSMISSION,0
(A1,0
618 65 55,0
TO:,0
Accoun,0
"Depk , Weife",0
DATE: 07.12. 36,0
PAGE:,0
OF,0
2,0
FROM:,0
"Aensa  iiguen""",1
CC;,0
aazee',0
I,0
"PHIIP MORRIS EUROPE S,4.",0
BRILLANCOURT,6
CASE POSTALE 1150,6
1001 LAUSANNE,6
SWITzERLAND,6
21),0
hv),0
BY : SACHTELL LIPTON,0
3 -,0
1 -,0
6: 12PM,0
KACHTEL,0
LIPTO-,0
919176635344; 4,4
55-Okl,6
"Wachtell, Lipton, Rosen & Katz",1
"SL West 52""d Street; New York; New York",6
10019,6
(212) 403-1000,4
FACSIMILE TRANSMITTAL,0
From:,0
JefTrcy R,1
Boffa,1
Date:,0
"Marcb [, 2001",0
Tclcpholc:,0
(212) 403-[254,4
Time:,0
Factimlle:,0
(212) 403-2254,4
Nux {JF PAGES:,0
(including this page),0
RUsh,0
VameCompany,0
Fax Number,0
Telephone Number,0
Sent,0
Charles $,1
Duggan,1
(212) 450-5578,4
(212) 450-4785,4
(1},0
Davis Fulk & Wardwell,1
Thomas F,1
McKim,1
{336) 741-0671,4
(336) 741-3348,4
(2),0
"RJ, Reynoldg Tobacco Holdings_Inc_",0
Nei) E. Mcllcn,0
(50z) 568-7676,4
(502) 568-7064,4
(3),0
Brown & Williamson Tobacco Company,0
Stephen R. Patton,1
(3t2) 861-2200,4
(312) 861-2406,4
(4),0
Kirkland & Ellis,0
Brian McGinn,1
(336) J35-7722,4
(336) 335-7000,4
(5},0
Lorillard Tobacco Company,0
Ronald S,1
Milstcin,1
(336) 335-7707,4
(336) 335-7718,4
(6),0
Lorillard Tobacco Campany,0
Alisa Stratton,1
(917) 663-5344,4
{917) 663-2404,4
Philip Morris Companies Itc_,0
Jarcs A-,1
Wilson,1
(917) 663-5979,4
