text,label
MEDICAL COLLEGE OF SOUTH CAROLINA,0
16 LUCAS STREET,5
CKARLESTON,5
"16, SOUTH CAROLINA",0
DEPARTMENT OF PATHOLOGY,0
10,0
June,1
1960,1
Mr,1
W .,1
T,1
"Hoyt ,",1
Executive Secretay,0
Tobacco Industry,0
Research,0
Committee,0
150,5
East' Forty-Second,5
Street,5
New,5
York,5
17,5
New,5
York,5
Dear,0
Mx,1
Hoyt:,1
We,0
should,0
like,0
to,0
expess,0
our,0
appreciation,0
to,0
the_,0
To-,0
bacco Industry,0
Research,0
Committee,0
for,0
approval,0
of,0
our,0
application,0
for,0
Eunds,0
in,0
the,0
amount,0
of,0
"89,580.00",0
for,0
res,0
search,0
in,0
industrial,0
dusts,0
The,0
Medical College,0
0f,0
South,0
Carolina,0
accepts,0
the grant,0
under,0
the,0
stated,0
terms,0
ana,0
onditions,0
ana,0
requests,0
that,0
the grant,0
be,0
activated,0
28,0
of,0
1 June,0
1960_,0
Sincerely,0
John,1
T,1
Cuttino,1
M-D.,1
Executive,0
Vice,0
President,1
L.,1
W .,1
Michaelis,1
Bulsiness,0
Manager,0
4d,1
2,1
9 +~,1
Forde,1
4_,1
McIver,1
M.D.,1
Project,0
Director,0
I,0
2078873797,3
Original Meseage--~,0
From :,0
Pfeil,1
Michael,1
Sent,0
"Tuesday,",0
"September 26, 2000",0
"7,26 AM",1
To;,1
Harris_,1
Peter,1
La,1
(PLH),1
"Nicoli,",1
David;,1
"Sylvia,",1
David;,1
"Krigbaum,",1
Stephen;,1
"Lindhein,",1
Jim',1
"McCormick,",1
Brendan,1
J.,1
"Ryan,",1
Thomas,1
Cc:,1
"Merlo,",1
"Ellen; Tapie,",1
Monique N,1
Subject:,1
RE;,0
Reviaed,0
3rd,0
Draft,0
"Okay,",0
we,0
hzve,0
conflicts,0
on,0
the,0
4th.,0
Can,0
you do the,0
afternoon of,0
the Sth,0
or,0
6th.,0
Pleage,0
let,0
Monique,0
know.,0
thanks,0
Way,0
MARKETING,0
ISSUES,0
1.,0
When,0
will,0
you,0
introduce,0
thie oigarette?,0
When,0
it,0
18,0
ready,0
and,0
when,0
we,0
are,0
convinced,0
that,0
smokerb,0
will,0
like,0
It.,0
Hom,0
will,0
you,0
know?,0
I'm,0
not,0
going,0
to,0
speculate,0
on,0
that.,0
Rhy,0
did,0
you develop,0
thle olgarette?,0
We developea,0
It because,0
it'8,0
Clear,0
the publia wante,0
1e88,0
second-hand,0
smoke_,0
Rebearoh,0
olearly Bhows,0
that,0
smokere,0
are,0
concerned,0
about,0
the,0
iesue,0
of becond-hand,0
emoke,0
and,0
that they,0
hope companles,0
Buch,0
a8,0
ourb,0
can,0
do,0
Bonething,0
about,0
It.,0
Before,0
we,0
introduce,0
thls,0
new,0
"cigarette,",0
we,0
be,0
certain,0
It provides,0
the,0
taste,0
and Bmoking pleabure' that,0
many,0
gmokere,0
enjoy,0
We belLeve,0
smokere,0
will,0
aleo appreolate,0
the benefte,0
Of,0
90,0
percent,0
reduotion,0
in,0
Becond-hana,0
Bwoke_,0
lingering,0
odor,0
in.halr_,0
clothing,0
and,0
furniture,0
no,0
abhes,0
"and""no",0
stalns _,0
to,0
fingers and,0
teeth.,0
Ehat,0
makeb,0
You,0
thfnk,0
bmokere,0
want,0
It?,0
They,0
tola,0
4b,0
BO,0
Smokers:,0
want,0
cigarette',0
that',0
provIdee Bmoklng enjoyment_,0
Clegood,0
tabte,0
and' aroma,0
And they,0
want,0
oigarette,0
that,0
elininated,0
or,0
nIntmLzes  abpeote they,0
don't,0
1Jke,0
buoh,0
46,0
odor_,0
Btalne  to,0
fIngere,0
ana,0
"teeth ,",0
a8,0
well,0
a5,0
abheb,0
"dinger n348d8on,",0
In,0
they,0
want,0
to,0
avoid,0
the,0
annoyance asboclated,0
with,0
beoond-hand,0
emoke.,0
The,0
new,0
cigarette,0
reduces,0
becond-hana,0
emoke,0
90 percent_,0
Becaube,0
there,0
16 virtually,0
no,0
smoke,0
off,0
the',0
RYc,0
ona',0
ana-the! exhaled,0
smoke,0
"dissipates quickly,",0
it,0
18,0
much,0
1e58,0
annoying to,0
non-smokers,0
than,0
Bmoke,0
from,0
Other cigarettee,0
Bmokers,0
and,0
mobt,0
non-smokerb,0
are,0
both,0
interegted,0
in,0
acoommodation.,0
Raat,0
makeb,0
you,0
think mokere,0
wLlI buy thle?,0
(Same,0
answer,0
45,0
#4),0
Xu,0
I8,0
thie just,0
gimniok,0
to capture,0
now,0
smokerb?,0
Absolutely not_,0
Some,0
900 cigarette styles,0
are,0
available in,0
the,0
U.8,0
market,0
This,0
is,0
imply,0
another,0
ohoice,0
for,0
Bmokere,0
who want,0
tobacco,0
taste,0
and,0
enjoyment,0
with Significantly,0
less,0
second-hand,0
"smoke ,",0
no,0
lingerIng odor,0
Bteins,0
or,0
abheb.,0
Ib,0
thi8 cigarette,0
intondod,0
to,0
former Bmokere to begin,0
3,0
again?,0
8,0
{no,0
get,0
U1,0
Memo from HENRY,1
KATZ,1
Fron,0
NATIONAL OBSERVER,0
January,0
"6, [973_",0
dwaliu,0
owictt J3 the,0
C#f,0
UCSMC,0
believable_,0
dut,0
Qalted,0
for,0
Attentive readers othe Jate Lite maga,0
Emelt got,0
his,0
[ram,0
representattve,0
zne;,0
and,0
readers,0
"pf: Punch,",0
tt TBneist:,0
toonlng,0
whej,0
e shlpping the supplies:,0
humor magazine_,0
wil,0
know what Emeat-,0
Tottering,0
and,0
emergency_,0
ez-,0
up to.,0
tn2n8 navc,0
spoofedi,0
Puoch   rcgular,0
tor,0
ticialj,0
sou only jan UP,0
Britain: Ib featured,0
materlal without,0
#ce,0
cninputers and railroadg:,0
"locamotives,",0
Fe aisq,0
Hy what'$ needed,0
Lately: be has taken,0
tp build Inz,0
Muddle,0
Rotatory,0
Ioglam at the Manag},0
which,0
designe,0
nuge intlux o persorie],0
sorter {ur tne Potatz,0
"0,8.",0
alone,0
averag9,0
Smoking: A,0
Bum' Rap?',0
histling Steets,0
camplicated by,0
Insoli-,0
and donatiops_,0
tie,0
Smdkibg,0
which,0
may,0
hazard,0
the:,0
movie,0
Chiti,0
1bjon system for,0
ood ad,0
OUS,0
tne,0
healtn,0
may,0
[eal,0
red,0
Emelt,0
te,0
bazardous 35 antismoking advocetes,0
amon : te: world ' =,0
Among. those,0
complain-,0
nave alleged,0
So s9y5 Canadian Prof,0
dle-powered _,0
chain,0
Stanlssis_,0
sen,1
t0 Mana,1
Tbeodore D_,1
Sterling _,1
And coinciden,0
ege machines,0
No,0
'Internationa,0
